model_ID;year;ntfp_name_2;ntfp_q_2;ntfp_unit_2;ntfp_p_2
51;26;Carbon;0,15;tC/ha/year;6
51;27;Carbon;0,13;tC/ha/year;6
51;28;Carbon;0,11;tC/ha/year;6
51;29;Carbon;0,09;tC/ha/year;6
51;30;Carbon;0,08;tC/ha/year;6
11;1;Carbon;1,99;tC/ha/year;6
11;2;Carbon;5,05;tC/ha/year;6
11;3;Carbon;6,99;tC/ha/year;6
11;4;Carbon;8,12;tC/ha/year;6
11;5;Carbon;8,67;tC/ha/year;6
11;6;Carbon;8,81;tC/ha/year;6
11;7;Carbon;8,66;tC/ha/year;6
11;8;Carbon;8,33;tC/ha/year;6
11;9;Carbon;7,88;tC/ha/year;6
11;10;Carbon;7,35;tC/ha/year;6
11;11;Carbon;6,8;tC/ha/year;6
11;12;Carbon;6,23;tC/ha/year;6
11;13;Carbon;5,68;tC/ha/year;6
11;14;Carbon;5,15;tC/ha/year;6
11;15;Carbon;4,65;tC/ha/year;6
11;16;Carbon;4,18;tC/ha/year;6
11;17;Carbon;3,75;tC/ha/year;6
11;18;Carbon;3,35;tC/ha/year;6
11;19;Carbon;2,99;tC/ha/year;6
11;20;Carbon;2,66;tC/ha/year;6
11;21;Carbon;2,37;tC/ha/year;6
11;22;Carbon;2,1;tC/ha/year;6
11;23;Carbon;1,86;tC/ha/year;6
11;24;Carbon;1,65;tC/ha/year;6
11;25;Carbon;1,46;tC/ha/year;6
11;26;Carbon;1,29;tC/ha/year;6
11;27;Carbon;1,14;tC/ha/year;6
11;28;Carbon;1,01;tC/ha/year;6
11;29;Carbon;0,89;tC/ha/year;6
11;30;Carbon;0,79;tC/ha/year;6
